second,gpu-preproc,fourth,furious,third,environ,batch-size,max,argmax,fail_count,load-exported-model,batch_size,points-per-batch,first,fifth,task,num-images,meta-folder,total_time,allow-recompiles,fast,median,bytes,p99,total_ms_per_img,experiment_name,total_img_s,p95,percentage,mean,baseline,miou,run_script_time,bytes_MiB,export-model,p999
1111ms,,997ms,,1081ms,None,,2400ms,222,,,1,64,1872ms,761ms,amg,,,926.1551332473755s,,,861ms,4561654784,2167ms,926.1551332473755ms,baseline_amg,1.0797327187441077img/s,1333ms,4,918ms,None,,930.5118675231934,4350,,2371ms
700ms,,658ms,,719ms,None,,1344ms,0,0.0,,1,64,1344ms,664ms,amg,,,723.899078130722s,,,701ms,4205527040,887ms,723.899078130722ms,amg_ao,1.3814080307744494img/s,812ms,4,718ms,,1.0,728.3646428585052,4010,,947ms
753ms,,627ms,,670ms,None,8,753ms,1,0.0,,8,1024,641ms,602ms,amg,,,604.5799195766449s,,,592ms,35607842304,702ms,604.5799195766449ms,amg_ao_ppb_1024_basic,1.6540410417538292img/s,647ms,34,599ms,,0.9999994533658028,608.3455510139465,33958,,747ms
701ms,,391ms,,388ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_inductor_cache_dir'},8,112690ms,0,,,8,1024,112690ms,395ms,amg,,,1340.7948153018951s,,None,419ms,30935013888,682ms,1340.7948153018951ms,amg_ao_ppb_1024_fast_cold,0.7458262730340576img/s,528ms,30,1333ms,,,1350.3541316986084,29501,,98803ms
463ms,,376ms,,373ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_inductor_cache_dir'},8,2231ms,0,191.0,,8,1024,2231ms,365ms,amg,,,426.0659008026123s,,None,401ms,30935013888,518ms,426.0659008026123ms,amg_ao_ppb_1024_fast,2.3470547587033486img/s,470ms,30,420ms,,0.9937760167938228,430.70269322395325,29501,,2019ms
,,,,,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_inductor_cache_dir'},8,,,,,8,1024,,,amg,0,,234.83050799369812s,,,,3709509632,,,amg_ao_ppb_1024_save_export,0.0img/s,,3,,,,244.30836868286133,3537,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/amg_ao_fast,
613ms,,565ms,,553ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_load_export_inductor_cache_dir'},8,729ms,13,189.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/amg_ao_fast,8,1024,643ms,554ms,amg,,,603.9073760509491s,,,592ms,49185127424,723ms,603.9073760509491ms,amg_ao_ppb_1024_load_export_cold,1.6558830702469085img/s,644ms,48,598ms,,0.9937901772861857,607.7330639362335,46906,,729ms
617ms,,571ms,,579ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_load_export_inductor_cache_dir'},8,735ms,5,189.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/amg_ao_fast,8,1024,642ms,647ms,amg,,,605.2754316329956s,,,591ms,49185127424,728ms,605.2754316329956ms,amg_ao_ppb_1024_load_export,1.6521404103617126img/s,640ms,48,598ms,,0.9937901772861857,609.746190071106,46906,,734ms
599ms,None,554ms,,548ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_load_export_inductor_cache_dir'},8,755ms,13,771.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/amg_ao_fast,8,1024,716ms,546ms,amg,,,582.8365941047668s,,,573ms,49466645504,709ms,582.8365941047668ms,amg_ao_ppb_1024_load_export_gpu_preproc,1.7157467635263934img/s,601ms,48,577ms,,0.836323596862466,587.2204837799072,47175,,750ms
603ms,,393ms,,371ms,{'TORCHINDUCTOR_CACHE_DIR': '/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/amg_fast_export_inductor_cache_dir'},8,33884ms,0,189.0,/home/cpuhrsch/blogs/tmp/sam2_amg_example_run_9/exported_models/amg_ao_fast,8,1024,33884ms,400ms,amg,,,705.1424202919006s,,None,418ms,49185128448,591ms,705.1424202919006ms,amg_ao_ppb_1024_fast_export_cold,1.4181532286570424img/s,524ms,48,699ms,,0.9937734489596728,710.0783984661102,46906,,29757ms
