model,batch_size,dtype,sparsity,bsr,sparsity_level,quantization,top-1_acc
vit_b_16,256,bfloat16,None,None,0.0,False,81.97916666666667
vit_b_16,256,bfloat16,None,None,0.0,True,81.90304487179488
vit_b_16,256,bfloat16,semi_structured,None,0.0,False,77.01722756410257
vit_b_16,256,bfloat16,semi_structured,None,0.0,True,76.73878205128206
vit_b_16,256,bfloat16,bsr,64,0.8,False,77.12740384615384
vit_b_16,256,bfloat16,bsr,64,0.8,True,77.08733974358974
vit_b_16,256,bfloat16,bsr,64,0.84,False,76.11578525641026
vit_b_16,256,bfloat16,bsr,64,0.84,True,76.11378205128206
vit_b_16,256,bfloat16,bsr,64,0.9,False,0.34655448717948717
vit_b_16,256,bfloat16,bsr,64,0.9,False,62.98878205128205
vit_b_16,256,bfloat16,bsr,64,0.9,True,62.96274038461539
